id	pid	name	perms	component	menu_type	sort	is_show	is_delte
294	0	鍒嗙被鏈嶅姟			M	0	0	0
344	0	鍏叡鏈嶅姟			M	0	0	0
280	0	鐧诲綍绠＄悊	NULL	NULL	M	1	0	0
13	0	缁存姢	NULL	/maintain	M	60	1	0
12	0	璁剧疆	NULL	/operation	M	70	1	0
10	0	绉诲姩绔鐞?NULL	/javaMobile	M	80	1	0
439	0	瑁呬慨		/design	M	85	1	0
9	0	璐㈠姟	NULL	/financial	M	90	1	0
633	0	鍥㈤槦		/tuandui	M	95	1	0
652	0	璁㈣揣		/stock	M	95	1	0
641	0	浠ｇ悊		/daili	M	96	1	0
8	0	鍒嗛攢	NULL	/distribution	M	100	1	0
7	0	钀ラ攢	NULL	/marketing	M	110	1	0
6	0	搴旂敤	NULL	/appSetting	M	120	1	0
5	0	鍐呭	NULL	/content	M	130	1	0
4	0	鐢ㄦ埛	NULL	/user	M	140	1	0
3	0	璁㈠崟	NULL	/order	M	160	1	0
2	0	鍟嗗搧	NULL	/store	M	180	1	0
1	0	杩愯惀	NULL	/dashboard	M	200	1	0
560	0	admin:activitystyle:delete	admin:activitystyle:delete	NULL	A	99999	1	0
561	0	admin:activitystyle:edite	admin:activitystyle:edite	NULL	A	99999	1	0
562	0	admin:activitystyle:list	admin:activitystyle:list	NULL	A	99999	1	0
563	0	admin:activitystyle:save	admin:activitystyle:save	NULL	A	99999	1	0
564	0	admin:activitystyle:updatestatus	admin:activitystyle:updatestatus	NULL	A	99999	1	0
565	0	admin:agreement:merincomming:info	admin:agreement:merincomming:info	NULL	A	99999	1	0
566	0	admin:agreement:merincomming:save	admin:agreement:merincomming:save	NULL	A	99999	1	0
567	0	admin:combination:combine:list:count	admin:combination:combine:list:count	NULL	A	99999	1	0
568	0	admin:copyright:update:company:info	admin:copyright:update:company:info	NULL	A	99999	1	0
570	0	admin:order:statistics	admin:order:statistics	NULL	A	99999	1	0
571	0	admin:order:statistics:data	admin:order:statistics:data	NULL	A	99999	1	0
572	0	admin:order:video:send	admin:order:video:send	NULL	A	99999	1	0
573	0	admin:order:write:confirm	admin:order:write:confirm	NULL	A	99999	1	0
574	0	admin:pagediy:delete	admin:pagediy:delete	NULL	A	99999	1	0
575	0	admin:pagediy:getdefault	admin:pagediy:getdefault	NULL	A	99999	1	0
576	0	admin:pagediy:list	admin:pagediy:list	NULL	A	99999	1	0
577	0	admin:pagediy:save	admin:pagediy:save	NULL	A	99999	1	0
578	0	admin:pagediy:setdefault	admin:pagediy:setdefault	NULL	A	99999	1	0
579	0	admin:pagediy:update	admin:pagediy:update	NULL	A	99999	1	0
580	0	admin:pagediy:updatename	admin:pagediy:updatename	NULL	A	99999	1	0
581	0	admin:pass:shipment:callback	admin:pass:shipment:callback	NULL	A	99999	1	0
582	0	admin:pay:component:delivery:company:get	admin:pay:component:delivery:company:get	NULL	A	99999	1	0
583	0	admin:pay:component:product:add	admin:pay:component:product:add	NULL	A	99999	1	0
584	0	admin:pay:component:product:delete	admin:pay:component:product:delete	NULL	A	99999	1	0
585	0	admin:pay:component:product:delisting	admin:pay:component:product:delisting	NULL	A	99999	1	0
586	0	admin:pay:component:product:draft:info	admin:pay:component:product:draft:info	NULL	A	99999	1	0
587	0	admin:pay:component:product:draft:list	admin:pay:component:product:draft:list	NULL	A	99999	1	0
588	0	admin:pay:component:product:list	admin:pay:component:product:list	NULL	A	99999	1	0
589	0	admin:pay:component:product:listing	admin:pay:component:product:listing	NULL	A	99999	1	0
590	0	admin:pay:component:product:update	admin:pay:component:product:update	NULL	A	99999	1	0
591	0	admin:product:listbyids	admin:product:listbyids	NULL	A	99999	1	0
592	0	admin:sms:applys	admin:sms:applys	NULL	A	99999	1	0
593	0	admin:sms:modify:sign	admin:sms:modify:sign	NULL	A	99999	1	0
594	0	admin:sms:temp:apply	admin:sms:temp:apply	NULL	A	99999	1	0
595	0	admin:sms:temps	admin:sms:temps	NULL	A	99999	1	0
